Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,115,Barley,2020,2020,tonnes,24785,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,115,Barley,2020,2020,1000 US$,3604,A,Official figure
TCL,Crops and livestock products,51,Armenia,5608,Import Quantity,2111,Cattle,2020,2020,Head,611,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,2111,Cattle,2020,2020,tonnes,232,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,2111,Cattle,2020,2020,1000 US$,1111,A,Official figure
TCL,Crops and livestock products,51,Armenia,5908,Export Quantity,2111,Cattle,2020,2020,Head,4586,A,Official figure
TCL,Crops and livestock products,51,Armenia,5910,Export Quantity,2111,Cattle,2020,2020,tonnes,1737,A,Official figure
TCL,Crops and livestock products,51,Armenia,5922,Export Value,2111,Cattle,2020,2020,1000 US$,4743,A,Official figure
TCL,Crops and livestock products,51,Armenia,5609,Import Quantity,2151,Chickens,2020,2020,1000 Head,291,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,2151,Chickens,2020,2020,tonnes,336,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,2151,Chickens,2020,2020,1000 US$,2832,A,Official figure
TCL,Crops and livestock products,51,Armenia,5608,Import Quantity,2123,Goats,2020,2020,Head,22,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,2123,Goats,2020,2020,tonnes,1,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,2123,Goats,2020,2020,1000 US$,15,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,117,Oats,2020,2020,tonnes,54,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,117,Oats,2020,2020,1000 US$,8,A,Official figure
TCL,Crops and livestock products,51,Armenia,5910,Export Quantity,117,Oats,2020,2020,tonnes,0,A,Official figure
TCL,Crops and livestock products,51,Armenia,5922,Export Value,117,Oats,2020,2020,1000 US$,0,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,113,Rice,2020,2020,tonnes,45,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,113,Rice,2020,2020,1000 US$,10,A,Official figure
TCL,Crops and livestock products,51,Armenia,5608,Import Quantity,2122,Sheep,2020,2020,Head,3871,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,2122,Sheep,2020,2020,tonnes,137,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,2122,Sheep,2020,2020,1000 US$,820,A,Official figure
TCL,Crops and livestock products,51,Armenia,5908,Export Quantity,2122,Sheep,2020,2020,Head,123786,A,Official figure
TCL,Crops and livestock products,51,Armenia,5910,Export Quantity,2122,Sheep,2020,2020,tonnes,4389,A,Official figure
TCL,Crops and livestock products,51,Armenia,5922,Export Value,2122,Sheep,2020,2020,1000 US$,10950,A,Official figure
TCL,Crops and livestock products,51,Armenia,5608,Import Quantity,2140,Swine / pigs,2020,2020,Head,121,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,2140,Swine / pigs,2020,2020,tonnes,8,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,2140,Swine / pigs,2020,2020,1000 US$,61,A,Official figure
TCL,Crops and livestock products,51,Armenia,5610,Import Quantity,111,Wheat,2020,2020,tonnes,349761,A,Official figure
TCL,Crops and livestock products,51,Armenia,5622,Import Value,111,Wheat,2020,2020,1000 US$,72254,A,Official figure
TCL,Crops and livestock products,51,Armenia,5910,Export Quantity,111,Wheat,2020,2020,tonnes,64,A,Official figure
TCL,Crops and livestock products,51,Armenia,5922,Export Value,111,Wheat,2020,2020,1000 US$,34,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,115,Barley,2020,2020,tonnes,56284,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,115,Barley,2020,2020,1000 US$,10343,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5608,Import Quantity,2111,Cattle,2020,2020,Head,46848,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,2111,Cattle,2020,2020,tonnes,17740,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,2111,Cattle,2020,2020,1000 US$,46971,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5609,Import Quantity,2151,Chickens,2020,2020,1000 Head,381,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,2151,Chickens,2020,2020,tonnes,410,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,2151,Chickens,2020,2020,1000 US$,5575,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5608,Import Quantity,2123,Goats,2020,2020,Head,1207,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,2123,Goats,2020,2020,tonnes,35,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,2123,Goats,2020,2020,1000 US$,470,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5908,Export Quantity,2123,Goats,2020,2020,Head,5,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5910,Export Quantity,2123,Goats,2020,2020,tonnes,0,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5922,Export Value,2123,Goats,2020,2020,1000 US$,1,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,117,Oats,2020,2020,tonnes,110,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,117,Oats,2020,2020,1000 US$,21,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,113,Rice,2020,2020,tonnes,280,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,113,Rice,2020,2020,1000 US$,259,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5910,Export Quantity,113,Rice,2020,2020,tonnes,29,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5922,Export Value,113,Rice,2020,2020,1000 US$,35,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5608,Import Quantity,2122,Sheep,2020,2020,Head,168425,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,2122,Sheep,2020,2020,tonnes,5971,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,2122,Sheep,2020,2020,1000 US$,14724,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5610,Import Quantity,111,Wheat,2020,2020,tonnes,1365100,A,Official figure
TCL,Crops and livestock products,31,Azerbaijan,5622,Import Value,111,Wheat,2020,2020,1000 US$,296905,A,Official figure
TCL,Crops and livestock products,268,Georgia,5610,Import Quantity,115,Barley,2020,2020,tonnes,18909,A,Official figure
TCL,Crops and livestock products,268,Georgia,5622,Import Value,115,Barley,2020,2020,1000 US$,2808,A,Official figure
TCL,Crops and livestock products,268,Georgia,5910,Export Quantity,115,Barley,2020,2020,tonnes,243,A,Official figure
TCL,Crops and livestock products,268,Georgia,5922,Export Value,115,Barley,2020,2020,1000 US$,55,A,Official figure
TCL,Crops and livestock products,268,Georgia,5608,Import Quantity,2111,Cattle,2020,2020,Head,1954,A,Official figure
TCL,Crops and livestock products,268,Georgia,5610,Import Quantity,2111,Cattle,2020,2020,tonnes,740,A,Official figure
